title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 39.9 м² · 3/4 этаж,24 500 000〒,"Ауэзовский р-н, Саина 14а — По диагонали от  Азия парка",2-комнатная квартира,39.9 м²,3,4,Нет,Нет
3-комнатная квартира · 65 м² · 1/4 этаж,41 000 000〒,"Ауэзовский р-н, мкр №1 2",3-комнатная квартира,65 м²,1,4,Нет,Нет
2-комнатная квартира · 77.7 м² · 4/9 этаж,43 500 000〒,"Ауэзовский р-н, мкр Аксай-3Б, Мкр «Аксай-3б» 30а — Толеби - Яссауи",2-комнатная квартира,77.7 м²,4,9,Нет,Да
1-комнатная квартира · 47 м² · 7/9 этаж,40 000 000〒,"Ауэзовский р-н, Симферопольская 1/1 — Жандосова-Навои",1-комнатная квартира,47 м²,7,9,Нет,Нет
3-комнатная квартира · 91 м² · 16/17 этаж,53 500 000〒,"Ауэзовский р-н, Навои 39",3-комнатная квартира,91 м²,16,17,Нет,Да
1-комнатная квартира · 48.2 м² · 7/17 этаж,36 500 000〒,"Ауэзовский р-н, Жандосова",1-комнатная квартира,48.2 м²,7,17,Нет,Да
2-комнатная квартира · 46 м² · 2/3 этаж,35 000 000〒,"Ауэзовский р-н, мкр Достык — Яссауи",2-комнатная квартира,46 м²,2,3,Нет,Нет
3-комнатная квартира · 60 м² · 3/4 этаж,40 000 000〒,"Ауэзовский р-н, мкр №11, Мкр11 — Шаляпина, Алтынсарина",3-комнатная квартира,60 м²,3,4,Нет,Нет
3-комнатная квартира · 102 м² · 1/9 этаж,51 500 000〒,"Ауэзовский р-н, Токтабаева 13 — ул. Навои",3-комнатная квартира,102 м²,1,9,Нет,Да
1-комнатная квартира · 45 м² · 6/12 этаж,37 900 000〒,"Ауэзовский р-н, Мустай Карим 13а",1-комнатная квартира,45 м²,6,12,Нет,Да
1-комнатная квартира · 38 м² · 8/10 этаж,24 500 000〒,"Ауэзовский р-н, мкр Аксай, Б. Момышулы 25",1-комнатная квартира,38 м²,8,10,Нет,Да
2-комнатная квартира · 57 м² · 7/10 этаж,41 000 000〒,"Ауэзовский р-н, Мкр Аксай, Б. Момышулы 25 — Момышулы/Жубанова",2-комнатная квартира,57 м²,7,10,Нет,Да
1-комнатная квартира · 46.64 м² · 13/13 этаж,24 500 000〒,"Ауэзовский р-н, Райымбека 348/1",1-комнатная квартира,46.64 м²,13,13,Нет,Да
2-комнатная квартира · 50 м² · 2/5 этаж,38 000 000〒,"Ауэзовский р-н, мкр Аксай-3Б 15",2-комнатная квартира,50 м²,2,5,Нет,Нет
2-комнатная квартира · 49 м² · 12/13 этаж,29 000 000〒,"Ауэзовский р-н, Райымбека 348/1",2-комнатная квартира,49 м²,12,13,Нет,Нет
3-комнатная квартира · 74 м² · 4/9 этаж,50 000 000〒,"Ауэзовский р-н, мкр Жетысу-2",3-комнатная квартира,74 м²,4,9,Нет,Нет
3-комнатная квартира · 67.2 м² · 4/5 этаж,48 500 000〒,"Ауэзовский р-н, мкр Мамыр-2 8",3-комнатная квартира,67.2 м²,4,5,Нет,Нет
3-комнатная квартира · 80.4 м² · 7/13 этаж,70 000 000〒,"Ауэзовский р-н, Микрорайон 3 21/1 — Саина",3-комнатная квартира,80.4 м²,7,13,Нет,Да
2-комнатная квартира · 43.2 м² · 1/4 этаж,29 000 000〒,"Ауэзовский р-н, мкр №6 15",2-комнатная квартира,43.2 м²,1,4,Нет,Нет
3-комнатная квартира · 112.6 м² · 3/11 этаж,75 000 000〒,"Ауэзовский р-н, мкр Жетысу-3 64",3-комнатная квартира,112.6 м²,3,11,Нет,Нет
5-комнатная квартира · 200 м² · 11/21 этаж,211 000 000〒,"Ауэзовский р-н, Аскарова 4",5-комнатная квартира,200 м²,11,21,Нет,Да
2-комнатная квартира · 75.4 м² · 9/10 этаж,54 800 000〒,"Ауэзовский р-н, Толе би 285/8 к1 — Толе би Утеген Батыра",2-комнатная квартира,75.4 м²,9,10,Нет,Да
