title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 59 м² · 3/5 этаж,55 000 000〒,"Медеуский р-н, Гоголя 15",2-комнатная квартира,59 м²,3,5,Нет,Нет
4-комнатная квартира · 205 м² · 2/5 этаж,200 000 000〒,"Медеуский р-н, Омаровой",4-комнатная квартира,205 м²,2,5,Нет,Да
3-комнатная квартира · 95.2 м² · 2/5 этаж,62 000 000〒,"Медеуский р-н, мкр Думан-2 25",3-комнатная квартира,95.2 м²,2,5,Нет,Да
3-комнатная квартира · 71.7 м² · 1/5 этаж,79 999 993〒,"Медеуский р-н, Уалиханова 84 — Богенбай батыра -Уалиханова",3-комнатная квартира,71.7 м²,1,5,Нет,Нет
6-комнатная квартира · 260 м² · 3/4 этаж,240 000 000〒,"Медеуский р-н, Кажымукана 109",6-комнатная квартира,260 м²,3,4,Нет,Да
2-комнатная квартира · 33 м² · 5/5 этаж,24 000 000〒,"Медеуский р-н, Маметовой 25 — Назарбаева",2-комнатная квартира,33 м²,5,5,Нет,Нет
3-комнатная квартира · 95.1 м² · 5/5 этаж,72 000 000〒,"Медеуский р-н, Кабанбайбатыра 71 — Кунаева",3-комнатная квартира,95.1 м²,5,5,Нет,Нет
5-комнатная квартира · 270 м² · 4/6 этаж,285 003 827〒,"Медеуский р-н, Фурманова 301 — Хаджи-Мукана",5-комнатная квартира,270 м²,4,6,Нет,Да
4-комнатная квартира · 92 м² · 5/5 этаж,82 000 000〒,"Медеуский р-н, Тулебаева 27 — Пассаж",4-комнатная квартира,92 м²,5,5,Нет,Нет
2-комнатная квартира · 56.8 м² · 14/14 этаж,53 500 000〒,"Медеуский р-н, мкр Самал-1 32 — Мендыкулова-Жолдасбекова",2-комнатная квартира,56.8 м²,14,14,Нет,Нет
4-комнатная квартира · 350 м² · 5/5 этаж,325 000 000〒,"Медеуский р-н, Омаровой 25 — Достык -Омаровой",4-комнатная квартира,350 м²,5,5,Нет,Да
5-комнатная квартира · 230 м² · 5/6 этаж,275 000 000〒,"Медеуский р-н, Кунаева 121",5-комнатная квартира,230 м²,5,6,Нет,Нет
4-комнатная квартира · 145 м² · 3/7 этаж,205 000 000〒,"Медеуский р-н, Митина — Достык",4-комнатная квартира,145 м²,3,7,Нет,Да
2-комнатная квартира · 68.8 м² · 3/3 этаж,65 360 000〒,"Медеуский р-н, мкр Горный Гигант, Жамакаево — Каппарова",2-комнатная квартира,68.8 м²,3,3,Нет,Нет
