title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 105.3 м² · 13/16 этаж,105 000 000〒,"Бостандыкский р-н, Гагарина проспект 124 — Абая/Гагарина",3-комнатная квартира,105.3 м²,13,16,Нет,Да
3-комнатная квартира · 90 м² · 6/19 этаж,110 000 000〒,"Бостандыкский р-н, Аль-Фараби 41 — Аль Фараби Сейфуллина",3-комнатная квартира,90 м²,6,19,Нет,Да
3-комнатная квартира · 73 м² · 5/12 этаж,75 000 000〒,"Бостандыкский р-н, Навои 200 — Горячая цена",3-комнатная квартира,73 м²,5,12,Нет,Да
3-комнатная квартира · 50.3 м² · 2/3 этаж,40 000 000〒,"Бостандыкский р-н, мкр Ерменсай, Университетская 7",3-комнатная квартира,50.3 м²,2,3,Да,Нет
1-комнатная квартира · 20.4 м² · 2/4 этаж,14 000 000〒,"Бостандыкский р-н, Жандосова 42 — Айманова",1-комнатная квартира,20.4 м²,2,4,Нет,Нет
2-комнатная квартира · 48 м² · 4/4 этаж,35 000 000〒,"Бостандыкский р-н, Навои — Аль-фараби",2-комнатная квартира,48 м²,4,4,Нет,Нет
3-комнатная квартира · 68.7 м² · 5/18 этаж,66 900 000〒,"Бостандыкский р-н, Навои 208/6 — Торайгырова - Навои",3-комнатная квартира,68.7 м²,5,18,Нет,Да
3-комнатная квартира · 150 м² · 11/15 этаж,108 000 000〒,"Бостандыкский р-н, мкр Керемет 5 к19",3-комнатная квартира,150 м²,11,15,Нет,Да
3-комнатная квартира · 134 м² · 1/5 этаж,138 000 000〒,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас 157",3-комнатная квартира,134 м²,1,5,Нет,Да
3-комнатная квартира · 80.8 м² · 2/3 этаж,56 964 000〒,"Бостандыкский р-н, мкр Ерменсай, Талды 59",3-комнатная квартира,80.8 м²,2,3,Нет,Да
2-комнатная квартира · 55 м² · 3/4 этаж,66 000 000〒,"Бостандыкский р-н, мкр Ерменсай, Ремизовка 1а",2-комнатная квартира,55 м²,3,4,Нет,Да
3-комнатная квартира · 76.1 м² · 2/3 этаж,53 650 000〒,"Бостандыкский р-н, мкр Ерменсай, Талды 59",3-комнатная квартира,76.1 м²,2,3,Нет,Да
1-комнатная квартира · 55 м² · 4/14 этаж,48 000 000〒,"Бостандыкский р-н, Гагарина проспект 124 — Абая Гагарина",1-комнатная квартира,55 м²,4,14,Нет,Да
2-комнатная квартира · 70 м² · 2/3 этаж,53 500 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Какимбек Салыков 42",2-комнатная квартира,70 м²,2,3,Нет,Да
4-комнатная квартира · 102.4 м² · 8/13 этаж,107 000 000〒,"Бостандыкский р-н, Ходжанова 57/5",4-комнатная квартира,102.4 м²,8,13,Нет,Да
2-комнатная квартира · 52 м² · 4/5 этаж,37 980 000〒,"Бостандыкский р-н, Жарокова 269а",2-комнатная квартира,52 м²,4,5,Нет,Нет
2-комнатная квартира · 43 м² · 5 этаж,32 000 000〒,"Бостандыкский р-н, Гагарина 196а",2-комнатная квартира,43 м²,,,Нет,Нет
