title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 76 м² · 9/9 этаж,47 000 000〒,"Жетысуский р-н, Райымбека 241 — ТРЦ Maxima",3-комнатная квартира,76 м²,9,9,Нет,Да
3-комнатная квартира · 93 м² · 5/9 этаж,52 000 000〒,"Жетысуский р-н, мкр Кулагер",3-комнатная квартира,93 м²,5,9,Нет,Нет
2-комнатная квартира · 53 м² · 2/5 этаж,37 500 000〒,"Жетысуский р-н, мкр Айнабулак-3 116",2-комнатная квартира,53 м²,2,5,Нет,Нет
3-комнатная квартира · 63 м² · 10/10 этаж,39 500 000〒,"Жетысуский р-н, мкр Айнабулак-2 85б",3-комнатная квартира,63 м²,10,10,Нет,Нет
3-комнатная квартира · 73 м² · 3/13 этаж,55 000 000〒,"Жетысуский р-н, Просп. Назарбаева 28 — Райымбека",3-комнатная квартира,73 м²,3,13,Нет,Да
2-комнатная квартира · 62 м² · 8/9 этаж,36 000 000〒,"Жетысуский р-н, мкр Айнабулак-2",2-комнатная квартира,62 м²,8,9,Нет,Нет
3-комнатная квартира · 109 м² · 6/6 этаж,33 000 000〒,"Жетысуский р-н, мкр Кокжиек",3-комнатная квартира,109 м²,6,6,Нет,Нет
2-комнатная квартира · 67 м² · 4/6 этаж,34 800 000〒,"Жетысуский р-н, мкр Кокжиек 7",2-комнатная квартира,67 м²,4,6,Нет,Нет
3-комнатная квартира · 65 м² · 5/5 этаж,35 267 400〒,"Жетысуский р-н, мкр Айнабулак-1 6",3-комнатная квартира,65 м²,5,5,Нет,Нет
2-комнатная квартира · 44 м² · 2/2 этаж,22 500 000〒,"Жетысуский р-н, Бокейханова — Бокейханова - ниже Рыскулова",2-комнатная квартира,44 м²,2,2,Нет,Нет
2-комнатная квартира · 60.4 м² · 2/5 этаж,29 900 000〒,"Жетысуский р-н, мкр Кокжиек, Геологов 10 Б — Камаз Центр",2-комнатная квартира,60.4 м²,2,5,Нет,Нет
4-комнатная квартира · 86 м² · 4/5 этаж,72 000 000〒,"Жетысуский р-н, мкр Айнабулак-4 194",4-комнатная квартира,86 м²,4,5,Нет,Нет
2-комнатная квартира · 50.3 м² · 1/5 этаж,29 900 000〒,"Жетысуский р-н, Рыскулова 58а — Жансугурова",2-комнатная квартира,50.3 м²,1,5,Нет,Нет
3-комнатная квартира · 75 м² · 2/9 этаж,50 500 000〒,"Жетысуский р-н, Райымбека 241",3-комнатная квартира,75 м²,2,9,Нет,Да
1-комнатная квартира · 41 м² · 5/5 этаж,27 000 000〒,"Жетысуский р-н, мкр Айнабулак-4",1-комнатная квартира,41 м²,5,5,Нет,Нет
3-комнатная квартира · 63.3 м² · 6/6 этаж,29 500 000〒,"Жетысуский р-н, мкр Кокжиек 56 — Возле народного банка",3-комнатная квартира,63.3 м²,6,6,Нет,Нет
3-комнатная квартира · 65.6 м² · 5/5 этаж,34 000 000〒,"Жетысуский р-н, мкр Айнабулак-3",3-комнатная квартира,65.6 м²,5,5,Нет,Нет
1-комнатная квартира · 54 м² · 8/8 этаж,23 500 000〒,"Жетысуский р-н, мкр Айнабулак-2, Айнабұлақ-2",1-комнатная квартира,54 м²,8,8,Нет,Нет
2-комнатная квартира · 63.4 м² · 7/10 этаж,35 300 000〒,"Жетысуский р-н, мкр Айнабулак-2, Жумабаева — ТРЦ Белес и Султан",2-комнатная квартира,63.4 м²,7,10,Нет,Да
2-комнатная квартира · 48 м² · 5/5 этаж,23 900 000〒,"Жетысуский р-н, мкр Кемел (Первомайское) 9",2-комнатная квартира,48 м²,5,5,Нет,Нет
2-комнатная квартира · 71 м² · 7/13 этаж,60 000 000〒,"Жетысуский р-н, Просп. Назарбаева 28",2-комнатная квартира,71 м²,7,13,Нет,Да
2-комнатная квартира · 59 м² · 4/6 этаж,36 500 000〒,"Жетысуский р-н, мкр Айнабулак-2 — Тц Белес, Султан комплекс",2-комнатная квартира,59 м²,4,6,Нет,Нет
3-комнатная квартира · 68 м² · 2/5 этаж,47 000 000〒,"Жетысуский р-н, мкр Айнабулак-2 32",3-комнатная квартира,68 м²,2,5,Нет,Нет
3-комнатная квартира · 68 м² · 1/1 этаж,19 400 000〒,"Жетысуский р-н, мкр Кокжиек, Таланта",3-комнатная квартира,68 м²,1,1,Нет,Нет
1-комнатная квартира · 42 м² · 2/5 этаж,29 000 000〒,"Жетысуский р-н, мкр Айнабулак-3 101",1-комнатная квартира,42 м²,2,5,Нет,Нет
2-комнатная квартира · 71.1 м² · 3/5 этаж,31 700 000〒,"Жетысуский р-н, Казыбаева 7Г — 24",2-комнатная квартира,71.1 м²,3,5,Нет,Нет
1-комнатная квартира · 40 м² · 6/6 этаж,17 400 000〒,"Жетысуский р-н, мкр Кокжиек",1-комнатная квартира,40 м²,6,6,Нет,Нет
